"doi","URL","content.type","content.version","intended.application","language","id"
"10.1080/09581596.2017.1400659","https://www.tandfonline.com/doi/pdf/10.1080/09581596.2017.1400659","application/pdf","vor","text-mining","en",1
"10.1080/09581596.2017.1400659","https://www.tandfonline.com/doi/pdf/10.1080/09581596.2017.1400659","unspecified","vor","similarity-checking","en",2
"10.1080/00220272.2021.1881169","https://www.tandfonline.com/doi/pdf/10.1080/00220272.2021.1881169","unspecified","vor","similarity-checking","en",3
"10.1007/s10111-019-00600-4","http://link.springer.com/content/pdf/10.1007/s10111-019-00600-4.pdf","application/pdf","vor","text-mining","en",4
"10.1007/s10111-019-00600-4","http://link.springer.com/content/pdf/10.1007/s10111-019-00600-4.pdf","application/pdf","vor","similarity-checking","en",5
"10.1007/s11019-020-09957-0","https://link.springer.com/content/pdf/10.1007/s11019-020-09957-0.pdf","application/pdf","vor","text-mining","en",6
"10.1007/s11019-020-09957-0","https://link.springer.com/content/pdf/10.1007/s11019-020-09957-0.pdf","application/pdf","vor","similarity-checking","en",7
"10.4013/rechtd.2017.92.03","http://www.revistas.unisinos.br/index.php/RECHTD/article/view/rechtd.2017.92.03/6274","unspecified","vor","similarity-checking",NA,8
"10.1177/14680173211008107","http://journals.sagepub.com/doi/pdf/10.1177/14680173211008107","application/pdf","vor","text-mining","en",9
"10.1177/14680173211008107","http://journals.sagepub.com/doi/pdf/10.1177/14680173211008107","unspecified","vor","similarity-checking","en",10
"10.1177/0539018408099635","http://journals.sagepub.com/doi/pdf/10.1177/0539018408099635","application/pdf","vor","text-mining","en",11
"10.1177/0539018408099635","http://journals.sagepub.com/doi/pdf/10.1177/0539018408099635","unspecified","vor","similarity-checking","en",12
"10.1002/sres.2682","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fsres.2682","application/pdf","vor","text-mining","en",13
"10.1002/sres.2682","http://onlinelibrary.wiley.com/wol1/doi/10.1002/sres.2682/fullpdf","unspecified","vor","similarity-checking","en",14
"10.1590/s0103-73312010000100014","http://www.scielo.br/pdf/physis/v20n1/a14v20n1.pdf","unspecified","vor","similarity-checking",NA,15
"10.1590/s1517-45222006000100007","http://www.scielo.br/pdf/soc/n15/a07v8n15.pdf","unspecified","vor","similarity-checking",NA,16
"10.1515/orga-2016-0006","https://www.sciendo.com/article/10.1515/orga-2016-0006","unspecified","vor","similarity-checking","en",17
"10.4312/as.2022.10.3.107-126","https://journals.uni-lj.si/as/article/download/10818/10414","application/pdf","vor","text-mining",NA,18
"10.4312/as.2022.10.3.107-126","https://journals.uni-lj.si/as/article/download/10818/10414","unspecified","vor","similarity-checking",NA,19
"10.1108/s1877-6361(2009)0000006008","http://www.emeraldinsight.com/doi/full-xml/10.1108/S1877-6361(2009)0000006008","unspecified","vor","text-mining",NA,20
"10.1108/s1877-6361(2009)0000006008","https://www.emerald.com/insight/content/doi/10.1108/S1877-6361(2009)0000006008/full/html","unspecified","vor","similarity-checking",NA,21
"10.1515/zfsoz-2017-1014","https://www.degruyter.com/document/doi/10.1515/zfsoz-2017-1014/pdf","unspecified","vor","similarity-checking","en",22
"10.11606/0103-2070.ts.2017.125328","https://www.revistas.usp.br/ts/article/viewFile/125328/136346","application/pdf","vor","text-mining",NA,23
"10.11606/0103-2070.ts.2017.125328","https://www.revistas.usp.br/ts/article/viewFile/125328/136346","unspecified","vor","similarity-checking",NA,24
"10.22201/iisue.20072872e.2021.33.861","https://www.ries.universia.unam.mx/index.php/ries/article/download/861/1316","application/pdf","vor","text-mining",NA,25
"10.22201/iisue.20072872e.2021.33.861","https://www.ries.universia.unam.mx/index.php/ries/article/download/861/1316","unspecified","vor","similarity-checking",NA,26
"10.1515/zfr-2016-0005","https://www.degruyter.com/document/doi/10.1515/zfr-2016-0005/pdf","unspecified","vor","similarity-checking",NA,27
"10.5380/rinc.v5i1.56247","http://revistas.ufpr.br/rinc/article/viewFile/56247/35015","application/pdf","vor","text-mining",NA,28
"10.5380/rinc.v5i1.56247","http://revistas.ufpr.br/rinc/article/viewFile/56247/35015","unspecified","vor","similarity-checking",NA,29
"10.1108/jfbm-10-2019-0068","https://www.emerald.com/insight/content/doi/10.1108/JFBM-10-2019-0068/full/html","unspecified","vor","similarity-checking","en",30
"10.1108/03684920410523571","http://www.emeraldinsight.com/doi/full-xml/10.1108/03684920410523571","unspecified","vor","text-mining","en",31
"10.1108/03684920410523571","https://www.emerald.com/insight/content/doi/10.1108/03684920410523571/full/html","unspecified","vor","similarity-checking","en",32
"10.1007/978-3-8349-9809-5","http://link.springer.com/content/pdf/10.1007/978-3-8349-9809-5.pdf","application/pdf","vor","text-mining",NA,33
"10.1007/978-3-8349-9809-5","http://link.springer.com/content/pdf/10.1007/978-3-8349-9809-5","unspecified","vor","similarity-checking",NA,34
"10.1111/joms.12206","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fjoms.12206","application/pdf","vor","text-mining","en",35
"10.1111/joms.12206","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fjoms.12206","unspecified","vor","text-mining","en",36
"10.1111/joms.12206","http://onlinelibrary.wiley.com/wol1/doi/10.1111/joms.12206/fullpdf","unspecified","vor","similarity-checking","en",37
"10.1080/13563475.2019.1627185","https://tandfonline.com/doi/pdf/10.1080/13563475.2019.1627185","application/pdf","vor","text-mining","en",38
"10.1080/13563475.2019.1627185","https://www.tandfonline.com/doi/pdf/10.1080/13563475.2019.1627185","unspecified","vor","similarity-checking","en",39
"10.15848/hh.v0i27.1323","https://www.historiadahistoriografia.com.br/revista/article/viewFile/1323/735","application/pdf","vor","text-mining",NA,40
"10.15848/hh.v0i27.1323","https://www.historiadahistoriografia.com.br/revista/article/viewFile/1323/735","unspecified","vor","similarity-checking",NA,41
"10.1057/s41599-019-0330-x","https://www.nature.com/articles/s41599-019-0330-x.pdf","application/pdf","vor","text-mining","en",42
"10.1057/s41599-019-0330-x","https://www.nature.com/articles/s41599-019-0330-x.pdf","application/pdf","vor","similarity-checking","en",43
"10.1590/2238-38752019v1012","http://www.scielo.br/pdf/sant/v10n1/2238-3875-sant-10-01-0075.pdf","unspecified","vor","similarity-checking",NA,44
"10.1590/2238-38752019v937","http://www.scielo.br/pdf/sant/v9n3/2238-3875-sant-09-03-0871.pdf","unspecified","vor","similarity-checking",NA,45
"10.17645/pag.v9i1.3631","https://www.cogitatiopress.com/politicsandgovernance/article/viewFile/3631/3631","application/pdf","vor","text-mining",NA,46
"10.17645/pag.v9i1.3631","https://www.cogitatiopress.com/politicsandgovernance/article/viewFile/3631/3631","unspecified","vor","similarity-checking",NA,47
"10.3145/epi.2020.jul.33","https://revista.profesionaldelainformacion.com/index.php/EPI/article/view/77645/61211","unspecified","vor","similarity-checking",NA,48
"10.1007/s10978-017-9199-2","http://link.springer.com/content/pdf/10.1007/s10978-017-9199-2.pdf","application/pdf","vor","text-mining","en",49
"10.1007/s10978-017-9199-2","http://link.springer.com/content/pdf/10.1007/s10978-017-9199-2.pdf","application/pdf","vor","similarity-checking","en",50
"10.1590/2238-38752019v1011","http://www.scielo.br/pdf/sant/v10n1/2238-3875-sant-10-01-0015.pdf","unspecified","vor","similarity-checking",NA,51
"10.1177/1478210316645015","http://journals.sagepub.com/doi/pdf/10.1177/1478210316645015","application/pdf","vor","text-mining","en",52
"10.1177/1478210316645015","http://journals.sagepub.com/doi/pdf/10.1177/1478210316645015","unspecified","vor","similarity-checking","en",53
"10.1007/s11577-021-00728-0","https://link.springer.com/content/pdf/10.1007/s11577-021-00728-0.pdf","application/pdf","vor","text-mining","de",54
"10.1007/s11577-021-00728-0","https://link.springer.com/content/pdf/10.1007/s11577-021-00728-0.pdf","application/pdf","vor","similarity-checking","de",55
"10.3390/info3030331","http://www.mdpi.com/2078-2489/3/3/331/pdf","unspecified","vor","similarity-checking","en",56
"10.3233/hsm-130790","https://content.iospress.com/download?id=10.3233/HSM-130790","unspecified","vor","similarity-checking",NA,57
"10.31269/triplec.v19i2.1264","https://www.triple-c.at/index.php/tripleC/article/download/1264/1443","application/pdf","vor","text-mining",NA,58
"10.31269/triplec.v19i2.1264","https://www.triple-c.at/index.php/tripleC/article/download/1264/1443","unspecified","vor","similarity-checking",NA,59
"10.1080/13603116.2016.1223179","https://tandfonline.com/doi/pdf/10.1080/13603116.2016.1223179","application/pdf","vor","text-mining","en",60
"10.1080/13603116.2016.1223179","https://www.tandfonline.com/doi/pdf/10.1080/13603116.2016.1223179","unspecified","vor","similarity-checking","en",61
"10.1108/k-11-2020-0782","https://www.emerald.com/insight/content/doi/10.1108/K-11-2020-0782/full/html","unspecified","vor","similarity-checking","en",62
"10.1515/zfsoz-2015-1013","https://www.degruyter.com/document/doi/10.1515/zfsoz-2015-1013/pdf","unspecified","vor","similarity-checking","en",63
"10.19154/njwls.v5i3a.4836","http://rossy.ruc.dk/ojs/index.php/njwls/article/viewFile/4836/2509","application/pdf","vor","text-mining",NA,64
"10.1177/0263276419868768","http://journals.sagepub.com/doi/pdf/10.1177/0263276419868768","application/pdf","vor","text-mining","en",65
"10.1177/0263276419868768","http://journals.sagepub.com/doi/pdf/10.1177/0263276419868768","unspecified","vor","similarity-checking","en",66
"10.1002/sres.2594","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fsres.2594","application/pdf","vor","text-mining","en",67
"10.1002/sres.2594","http://onlinelibrary.wiley.com/wol1/doi/10.1002/sres.2594/fullpdf","unspecified","vor","similarity-checking","en",68
"10.1007/s11019-020-09969-w","https://link.springer.com/content/pdf/10.1007/s11019-020-09969-w.pdf","application/pdf","vor","text-mining","en",69
"10.1007/s11019-020-09969-w","https://link.springer.com/content/pdf/10.1007/s11019-020-09969-w.pdf","application/pdf","vor","similarity-checking","en",70
"10.1590/s0103-49792014000300007","http://www.scielo.br/pdf/ccrh/v27n72/07.pdf","unspecified","vor","similarity-checking",NA,71
"10.1590/s0102-64452006000100008","http://www.scielo.br/pdf/ln/n66/29088.pdf","unspecified","vor","similarity-checking",NA,72
"10.1007/978-3-642-23330-2_34","http://link.springer.com/content/pdf/10.1007/978-3-642-23330-2_34","unspecified","vor","similarity-checking",NA,73
"10.1108/aaaj-11-2012-1153","http://www.emeraldinsight.com/doi/full-xml/10.1108/AAAJ-11-2012-1153","unspecified","vor","text-mining","en",74
"10.1108/aaaj-11-2012-1153","https://www.emerald.com/insight/content/doi/10.1108/AAAJ-11-2012-1153/full/html","unspecified","vor","similarity-checking","en",75
"10.1108/03684920610653791","http://www.emeraldinsight.com/doi/full-xml/10.1108/03684920610653791","unspecified","vor","text-mining","en",76
"10.1108/03684920610653791","https://www.emerald.com/insight/content/doi/10.1108/03684920610653791/full/html","unspecified","vor","similarity-checking","en",77
"10.3989/ris.2010.05.21","http://revintsociologia.revistas.csic.es/index.php/revintsociologia/article/viewFile/470/491","unspecified","vor","similarity-checking",NA,78
"10.1146/annurev-lawsocsci-102612-134027","https://www.annualreviews.org/doi/pdf/10.1146/annurev-lawsocsci-102612-134027","unspecified","vor","similarity-checking","en",79
"10.17645/mac.v6i2.1281","https://www.cogitatiopress.com/mediaandcommunication/article/viewFile/1281/1281","application/pdf","vor","text-mining",NA,80
"10.17645/mac.v6i2.1281","https://www.cogitatiopress.com/mediaandcommunication/article/viewFile/1281/1281","unspecified","vor","similarity-checking",NA,81
"10.1590/s0104-11692007000600014","http://www.scielo.br/pdf/rlae/v15n6/13.pdf","unspecified","vor","similarity-checking",NA,82
"10.1080/17400309.2011.606531","http://www.tandfonline.com/doi/pdf/10.1080/17400309.2011.606531","unspecified","vor","similarity-checking","en",83
"10.1590/0034-76121174","http://www.scielo.br/pdf/rap/v48n3/07.pdf","unspecified","vor","similarity-checking",NA,84
"10.1590/s1413-24782018230077","http://www.scielo.br/pdf/rbedu/v23/1809-449X-rbedu-23-e230077.pdf","unspecified","vor","similarity-checking",NA,85
"10.3389/fpsyg.2020.581299","https://www.frontiersin.org/articles/10.3389/fpsyg.2020.581299/full","unspecified","vor","similarity-checking",NA,86
"10.1108/s0742-3322(2010)0000027015","http://www.emeraldinsight.com/doi/full-xml/10.1108/S0742-3322(2010)0000027015","unspecified","vor","text-mining",NA,87
"10.1108/s0742-3322(2010)0000027015","https://www.emerald.com/insight/content/doi/10.1108/S0742-3322(2010)0000027015/full/html","unspecified","vor","similarity-checking",NA,88
"10.1093/ejil/chm028","http://academic.oup.com/ejil/article-pdf/18/3/409/1039146/chm028.pdf","unspecified","vor","similarity-checking","en",89
"10.1590/s0034-71672013000400020","http://www.scielo.br/pdf/reben/v66n4/v66n4a20.pdf","unspecified","vor","similarity-checking",NA,90
"10.24135/pjr.v23i1.104","https://ojs.aut.ac.nz/pacific-journalism-review/article/viewFile/104/319","application/pdf","vor","text-mining",NA,91
"10.24135/pjr.v23i1.104","https://ojs.aut.ac.nz/pacific-journalism-review/article/viewFile/104/319","unspecified","vor","similarity-checking",NA,92
"10.1590/2238-38752019v1013","http://www.scielo.br/pdf/sant/v10n1/2238-3875-sant-10-01-0099.pdf","unspecified","vor","similarity-checking",NA,93
"10.1038/s41893-018-0184-z","https://www.nature.com/articles/s41893-018-0184-z.pdf","application/pdf","vor","text-mining","en",94
"10.1038/s41893-018-0184-z","https://www.nature.com/articles/s41893-018-0184-z.pdf","application/pdf","vor","similarity-checking","en",95
"10.1108/jhom-08-2015-0121","http://www.emeraldinsight.com/doi/full-xml/10.1108/JHOM-08-2015-0121","unspecified","vor","text-mining","en",96
"10.1108/jhom-08-2015-0121","https://www.emerald.com/insight/content/doi/10.1108/JHOM-08-2015-0121/full/html","unspecified","vor","similarity-checking","en",97
"10.29101/crcs.v27i83.12148","https://convergencia.uaemex.mx/article/download/12148/10499","application/pdf","vor","text-mining",NA,98
"10.29101/crcs.v27i83.12148","https://convergencia.uaemex.mx/article/download/12148/10499","unspecified","vor","similarity-checking",NA,99
"10.1007/978-3-658-13381-8","http://link.springer.com/content/pdf/10.1007/978-3-658-13381-8.pdf","application/pdf","vor","text-mining",NA,100
"10.1007/978-3-658-13381-8","http://link.springer.com/content/pdf/10.1007/978-3-658-13381-8","unspecified","vor","similarity-checking",NA,101
"10.1504/ijmtm.2018.089463","http://www.inderscienceonline.com/doi/full/10.1504/IJMTM.2018.089463","unspecified","vor","similarity-checking","en",102
"10.1080/09640568.2010.547687","http://www.tandfonline.com/doi/pdf/10.1080/09640568.2010.547687","unspecified","vor","similarity-checking","en",103
"10.1177/1350508409353834","http://journals.sagepub.com/doi/pdf/10.1177/1350508409353834","application/pdf","vor","text-mining","en",104
"10.1177/1350508409353834","http://journals.sagepub.com/doi/pdf/10.1177/1350508409353834","unspecified","vor","similarity-checking","en",105
"10.5565/rev/athenea.1636","http://atheneadigital.net/article/viewFile/1636/1636-pdf-es","application/pdf","vor","text-mining",NA,106
"10.1177/0539018416675074","http://journals.sagepub.com/doi/pdf/10.1177/0539018416675074","application/pdf","vor","text-mining","en",107
"10.1177/0539018416675074","http://journals.sagepub.com/doi/pdf/10.1177/0539018416675074","unspecified","vor","similarity-checking","en",108
"10.1177/01622439211057860","http://journals.sagepub.com/doi/pdf/10.1177/01622439211057860","application/pdf","vor","text-mining","en",109
"10.1177/01622439211057860","http://journals.sagepub.com/doi/pdf/10.1177/01622439211057860","unspecified","vor","similarity-checking","en",110
"10.1007/s13593-014-0243-4","http://link.springer.com/content/pdf/10.1007/s13593-014-0243-4.pdf","application/pdf","vor","text-mining","en",111
"10.1007/s13593-014-0243-4","http://link.springer.com/content/pdf/10.1007/s13593-014-0243-4","unspecified","vor","similarity-checking","en",112
"10.1177/0163443719833288","http://journals.sagepub.com/doi/pdf/10.1177/0163443719833288","application/pdf","vor","text-mining","en",113
"10.1177/0163443719833288","http://journals.sagepub.com/doi/pdf/10.1177/0163443719833288","unspecified","vor","similarity-checking","en",114
"10.1007/s12108-021-09483-3","https://link.springer.com/content/pdf/10.1007/s12108-021-09483-3.pdf","application/pdf","vor","text-mining","en",115
"10.1007/s12108-021-09483-3","https://link.springer.com/content/pdf/10.1007/s12108-021-09483-3.pdf","application/pdf","vor","similarity-checking","en",116
"10.1108/jhom-08-2020-0334","https://www.emerald.com/insight/content/doi/10.1108/JHOM-08-2020-0334/full/html","unspecified","vor","similarity-checking","en",117
"10.1177/0964663920952531","http://journals.sagepub.com/doi/pdf/10.1177/0964663920952531","application/pdf","vor","text-mining","en",118
"10.1177/0964663920952531","http://journals.sagepub.com/doi/pdf/10.1177/0964663920952531","unspecified","vor","similarity-checking","en",119
"10.1111/comt.12095","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fcomt.12095","unspecified","vor","text-mining","en",120
"10.1007/978-3-642-14316-8","http://link.springer.com/content/pdf/10.1007/978-3-642-14316-8.pdf","application/pdf","vor","text-mining",NA,121
